,title,url,urlToImage
0,Earth Day: Meet the original eco warriors protecting the planet,https://www.bbc.co.uk/news/science-environment-51806291,https://ichef.bbci.co.uk/news/1024/branded_news/B0DF/production/_111197254_chad.jpg
3,Slideshow: 2020 World Press Photo contest winners,https://www.dpreview.com/photography/1604410356/slideshow-2020-world-press-photo-contest-winners,https://4.img-dpreview.com/files/p/E~TS940x788~articles/1604410356/013_World_Press_Photo_Story_of_the_Year_Romain_Laurendeau.jpeg
4,"Drought, bushfire, flood, hail, and dust: Local action the way forward for Australia's sustainability",https://phys.org/news/2020-04-drought-bushfire-hail-local-action.html,https://scx2.b-cdn.net/gfx/news/hires/2020/bushfire.jpg
5,"Drought, fire and flood: How outer urban areas can manage emergencies while reducing future risks",https://phys.org/news/2020-04-drought-outer-urban-areas-emergencies.html,https://scx2.b-cdn.net/gfx/news/hires/2020/droughtfirea.jpg
6,"If you're worried about bushfires but want to keep your leafy garden, follow these tips",https://phys.org/news/2020-03-youre-bushfires-leafy-garden.html,https://scx2.b-cdn.net/gfx/news/hires/2020/ifyoureworri.jpg
7,"Major declines in populations of threatened mammals over the last 20 years, but news not all bad",https://phys.org/news/2020-04-major-declines-populations-threatened-mammals.html,https://phys.b-cdn.net/tmpl/v6/img/medx308px.png
12,Australia's devastating bushfire season comes to an end,https://www.aljazeera.com/news/2020/03/australia-devastating-bushfire-season-200331094924419.html,https://www.aljazeera.com/mritems/Images/2020/2/13/abb24eea50f34558ae03e2a9f6f6ace1_18.jpg
13,"Wildfire Tourist Towns Saw an Easter Revival, Then The Virus Hit",https://www.bloomberg.com/news/articles/2020-04-09/wildfire-tourist-towns-saw-an-easter-revival-then-the-virus-hit,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i3E2OueETJz0/v0/1200x762.jpg
14,"New report tells grim story of heat, drought and fire in Australia",https://phys.org/news/2020-03-grim-story-drought-australia.html,https://scx2.b-cdn.net/gfx/news/2020/newreporttel.jpg
15,Here are 5 ways to flatten the climate change curve while stuck at home,https://phys.org/news/2020-04-ways-flatten-climate-stuck-home.html,https://scx2.b-cdn.net/gfx/news/hires/2020/hereare5ways.jpg
16,"Buckle up, climate change deniers: Coronavirus makes the low-carbon transition more urgent",https://phys.org/news/2020-04-buckle-climate-deniers-coronavirus-low-carbon.html,https://scx2.b-cdn.net/gfx/news/hires/2020/sorrytodisap.jpg
17,Nick Kyrgios no fan of Grand Slams without crowd,https://indianexpress.com/article/sports/tennis/nick-kyrgios-no-fan-of-grand-slams-without-crowd-6372832/,https://images.indianexpress.com/2019/08/kyrgios-usatodaysports.jpg?w=759
18,Miley Cyrus Opens Up About Her Favorite Hit Single: 'By Now You Should Know I Can't Be Tamed',https://people.com/music/miley-cyrus-cant-be-tamed-favorite-song/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2020%2F04%2F04%2Fmiley-cyrus.jpg
19,"Before NBA leap, LaMelo buys his Aussie team",https://www.espn.com/nba/story/_/id/28987001/lamelo-ball-manager-purchase-austalian-nbl-team,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F1209%2Fr639186_1296x729_16%2D9.jpg
